listing_id,source,locality,locality_norm,bhk,area_sqft,rent_monthly,deposit,property_type,furnishing,floor_num,total_floors,first_seen_at,source_url,predicted_rent,value_score,is_deal,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_whitefield_km,dist_ecity_km,dist_manyata_km,rent_per_sqft,save_pct,deposit_to_rent,bhk_int,floor_ratio,source_bucket
85,nobroker,Indiranagar,indiranagar,2.0,1020.0,40000.0,160000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-40000/8aa9a3429af80cef019af83fb4cf1411/detail,40652.7421875,0.01605653523910883,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,39.21568627450981,1.6,4.0,2,0.17,nobroker
86,nobroker,Indiranagar,indiranagar,4.0,4980.0,250000.0,2500000.0,apartment,semi,1.0,30.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-250000/ff80818169bf68e00169bf78882703fc/detail,238475.96875,-0.04832365839797013,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,50.200803212851405,-4.8,10.0,4,0.03,nobroker
87,nobroker,Indiranagar,indiranagar,2.0,850.0,35000.0,180000.0,independent_house,semi,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar--bangalore-for-rs-35000/8aa9ca429d7fc02a019d81227c91297a/detail,34982.4765625,-0.0005009204385141936,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,41.1764705882353,-0.1,5.14,2,0.2,nobroker
88,nobroker,Indiranagar,indiranagar,4.0,2400.0,140000.0,600000.0,independent_house,semi,1.0,4.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-140000/8a9f94879791c11c01979213130a285c/detail,139808.796875,-0.0013676043945285543,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,58.333333333333336,-0.1,4.29,4,0.25,nobroker
89,nobroker,Indiranagar,indiranagar,2.0,1200.0,60000.0,300000.0,apartment,semi,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-new-tippasandra-bangalore-for-rs-60000/8aa9adc49fc75d87019fc78cbefa1f60/detail,56454.25390625,-0.06280742102514003,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,50.0,-6.3,5.0,2,,nobroker
90,nobroker,Indiranagar,indiranagar,1.0,550.0,500.0,320000.0,independent_house,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-lease-in-indira-nagar-bangalore-for-rs-320000/8aa9b9939f598955019f5a5dee2109a1/detail,,,,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,0.9090909090909091,,640.0,1,0.14,nobroker
91,nobroker,Indiranagar,indiranagar,1.0,450.0,25000.0,100000.0,independent_house,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-25000/8a9fbd827ca62b44017ca6a472494a1d/detail,20483.869140625,-0.22047254980839057,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,55.55555555555556,-22.0,4.0,1,0.17,nobroker
92,nobroker,Indiranagar,indiranagar,2.0,950.0,25000.0,150000.0,independent_house,semi,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-25000/8a9f918496332b3b0196337fdde222c1/detail,27269.935546875,0.08323949071948296,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,26.31578947368421,8.3,6.0,2,,nobroker
93,nobroker,Indiranagar,indiranagar,3.0,1850.0,160000.0,800000.0,apartment,full,1.0,39.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-indiranagar-bangalore-for-rs-160000/8aa9a3029f3fec95019f402e5b712353/detail,159983.234375,-0.00010479613732962448,0.0,12.9784,77.6408,0.0,Indiranagar,6.498,10.432,14.96,7.687,86.48648648648648,-0.0,5.0,3,0.03,nobroker
94,nobroker,outside_coverage,outside_coverage,1.0,450.0,20000.0,50000.0,independent_house,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-krishnarajapuram-bangalore-for-rs-20000/8aa9b1189a9aecea019a9b35620124f4/detail,19990.650390625,-0.0004676991089486853,0.0,,,,,,,,,44.44444444444444,-0.0,2.5,1,0.17,nobroker
